id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
f9fb77d9-d303-414e-a4e6-bb38e93d9aec,2020-08-09,122,,122,,,,107,107,,13,14,107,,,,20,20,,6,5,20,,,
17751cf7-fe93-4126-81d3-29abee5883cb,2020-08-10,141,,141,,,,113,113,,12,12,113,,,,22,22,,2,1,22,,,
30e1bf2b-79d0-480b-b11c-1be0a3bd27df,2020-08-11,289,,289,,,,110,110,,8,9,110,,,,21,21,,1,1,21,,,
1cde4af0-c294-4a42-8a78-12b69500d45b,2020-08-12,289,,289,,,,101,101,,13,13,101,,,,22,22,,3,2,22,,,
c835cb3a-c3a6-4180-aa46-9663d51c4887,2020-08-13,331,,331,,,,106,106,,13,15,106,,,,23,23,,2,2,23,,,
4b2395bc-afdd-49cd-b94d-57740af95bc5,2020-08-14,291,1,291,1,,,113,113,,19,19,113,,,,22,22,,1,1,22,,,
b3ebb24d-d19a-4adf-bd1a-2dc3e358dd65,2020-08-15,197,,197,,,,103,103,,12,12,103,,,,21,21,,2,1,21,,,
313bafe4-ff91-4965-82be-2a100c142763,2020-08-16,121,,121,,,,101,101,,11,11,101,,,,21,21,,,,21,,,
46a0b730-a574-4d34-b74f-6cb495df3f47,2020-08-17,191,,191,,,,113,113,,16,16,113,,,,22,22,,2,1,22,,,
afc224d3-eba6-4c8e-a21e-2a803e68f4c5,2020-08-18,281,,281,,,,103,103,,6,7,103,,,,25,25,,4,1,25,,,
480f0246-1791-417b-9879-c84b20a4cb21,2020-08-19,313,,313,,,,108,108,,14,15,108,,,,27,27,,2,1,27,,,
e28f81df-0354-4af4-82a8-fd2a147ab51f,2020-08-20,246,,246,,,,116,116,,22,22,116,,,,26,26,,1,1,26,,,
79ab99e8-a740-40ad-9209-b71a5e975f75,2020-08-21,506,,506,,,,119,119,,22,22,119,,,,24,24,,6,3,24,,,
23749f92-3ddb-44e6-9af0-765d119241fd,2020-08-22,234,,234,,,,124,124,,14,17,124,,,,26,26,,3,,26,,,
